N1	F_LE	F_NLE
Apfel	60	5600
Auge	19630	64
Bad	1019	1984
Ball	44	7397
Bauer	13078	495
Bett	988	6476
Bild	10730	39734
Brett	380	1541
Brief	106	8189
Buch	5858	27247
Dämon	1006	17
Ei	3964	5228
Frau	26091	315
Gerät	6340	185
Geschenk	374	3906
Gitarre	4677	149
Hand	909	28181
Haus	1992	56955
Hund	23029	302
Katze	9700	23
Kind	66744	631
Kunde	28865	90
Lied	2923	2457
Mutter	665	13543
Nagel	37	3024
Ohr	1886	5893
Person	11956	131
Produkt	281	24507
Rad	334	20860
Schloss	357	8413
Schwert	46	2230
Stadt	4546	84008
Student	6959	16
Vater	537	2191
Vogel	22	10541
Weg	2535	13793
Wurm	17	1905
Zahn	813	22044
