N2	F_LE	HAPAX_LE	F_NLE	HAPAX_NLE
Album	50	27	248	125
Ansammlung	52	38	119	77
Anteil	324	180	1453	770
Anzahl	203	103	315	184
Archiv	113	65	410	195
Armee	54	28	195	110
Aufstand	56	30	103	54
Ausschuss	125	53	495	221
Austausch	151	79	266	142
Auswahl	242	107	562	254
Band	419	200	1764	850
Beirat	53	25	212	88
Berg	596	261	1524	672
Bewegung	253	139	915	447
Block	225	119	1037	547
Brut	34	18	73	47
Bund	152	73	413	190
Bündel	86	54	160	98
Bundesliga	5	2	24	6
Bündnis	55	29	144	80
Clan	42	32	58	42
Club	155	74	682	286
Collage	17	14	67	35
Datenbank	125	71	457	241
Demo	23	12	107	68
Demonstration	24	13	113	56
Dreieck	38	23	168	94
Duell	66	44	229	133
Duo	79	49	175	104
Ensemble	71	35	221	107
Essay	0	0	25	15
Fluss	158	82	503	243
Flut	95	53	217	118
Folge	153	80	507	254
Förderung	82	36	330	130
Freundschaft	36	22	77	44
Gabel	22	14	125	67
Gabelung	5	1	13	7
Gemeinde	120	57	641	293
Gemeinschaft	205	89	663	282
Geschwader	16	10	60	35
Gesellschaft	206	118	867	384
Gruppe	735	304	2367	933
Händler	231	96	599	273
Haufen	93	49	252	138
Heer	80	51	91	49
Heim	188	71	481	190
Horde	57	32	84	60
Hort	25	13	56	37
Hügel	88	45	223	123
Jury	11	7	66	42
Katalog	226	125	506	256
Kette	195	97	801	379
Klasse	239	113	1008	445
Klub	45	28	279	134
Klumpen	3	2	44	30
Kollektion	63	38	171	111
Kollektiv	45	31	96	66
Kolonie	56	31	147	80
Kolonne	23	19	99	59
Kombination	176	95	508	296
Komplex	155	89	561	317
Konferenz	133	67	415	190
Kongress	165	87	321	184
Konkurrenz	36	16	118	78
Kontakt	168	98	634	343
Kooperation	24	13	108	66
Kreis	464	220	1359	635
Kreuzung	27	16	63	35
Lexikon	87	47	243	138
Liste	345	159	1027	423
Mannschaft	97	41	414	189
Masse	170	105	713	334
Meer	137	70	181	101
Mehrheit	27	14	54	30
Meisterschaft	49	20	280	132
Menge	178	102	948	421
Meute	28	19	35	26
Mischung	117	65	419	223
Mix	104	71	291	170
Netz	261	125	942	464
Netzwerk	171	84	532	296
Orchester	55	25	208	88
Orden	32	11	139	58
Organisation	192	88	673	294
Paar	464	243	793	447
Paarung	19	12	61	37
Parlament	42	14	101	47
Partei	95	54	343	168
Partnerschaft	29	19	128	79
Party	116	58	563	301
Plenum	8	6	42	28
Quartett	55	37	93	58
Quote	82	44	406	189
Rat	212	99	788	341
Regierung	38	21	137	62
Reihe	294	168	815	393
Rennen	113	60	343	154
Rudel	31	15	40	31
Runde	72	45	407	212
Sammler	161	93	252	157
Sammlung	345	146	670	348
Schar	124	61	184	101
Schwarm	114	62	128	76
Schwemme	35	21	60	44
Sequenz	30	18	313	162
Serie	193	113	808	403
Set	159	89	618	314
Staffel	50	18	231	127
Stapel	68	38	138	89
Strecke	106	59	752	345
Strom	204	101	834	404
Synode	5	2	37	13
Tausch	180	90	264	158
Team	288	135	1127	515
Treff	112	52	370	185
Treffen	208	95	609	290
Trio	67	39	138	89
Übersicht	124	63	317	168
Umkreis	4	4	4	4
Union	22	7	80	36
Veranstaltung	105	37	723	328
Verband	430	179	1428	647
Verbandes	0	0	0	0
Verbindung	123	65	705	350
Verbindungen	0	0	0	0
Verbund	108	62	388	217
Verein	340	149	1285	542
Vereinigung	136	67	314	162
Vergleich	189	115	500	289
Verhau	4	3	18	11
Vermehrer	6	1	10	7
Versammlung	94	56	220	99
Verteiler	40	27	140	89
Verteilung	156	76	420	217
Verwechslung	12	10	8	8
Verzeichnis	222	115	528	271
Verzweigung	11	8	14	10
Wechsel	401	187	1045	440
Welle	105	66	747	355
Wettkampf	67	48	241	126
Zaun	79	38	195	110
Zeile	60	35	282	141
Zusammenführung	12	7	12	8
Zusammenhang	55	39	202	112
Zusammenschluss	23	16	46	34
Zusammenstellung	48	31	115	68
Zweikampf	4	3	5	4
Zyklen	0	0	0	0
Zyklus	76	37	335	203
