Mutter	250
Mangel	212
Vater	199
Bruder	151
Apfel	104
Nagel	98
Tochter	85
Vogel	78
Kloster	48
Faden	41
Garten	38
Abwasser	35
Hafen	33
Graben	29
Boden	28
Wasser	27
Laden	23
Bogen	22
Hammer	21
Kindergarten	20
Großmutter	20
Kasten	19
Lager	18
Singvogel	16
Ofen	15
Sattel	13
Großvater	13
Schützengraben	12
Mantel	12
Soller	10
Nistkasten	10
Acker	10
Granatapfel	9
Fragebogen	9
Schaden	8
Flughafen	8
Schrebergarten	7
Rundbogen	7
Proller	7
Briefkasten	7
Vorvater	6
Fußboden	5
Spitzbogen	3
Sinkkasten	3
Nachtigaller	3
Regenbogen	2
Magen	2
Gebärmutter	2
Bindfaden	2
Wahller	1
Vitalienbruder	1
Schnabel	1
Marstaller	1
Guckkasten	1
Draller	1
Baller	1
