Schule	1901535
Ende	806189
Sprache	609515
Farbe	558575
Erde	483447
Sache	386575
Grenze	353023
Strafe	320194
Hochschule	263773
Pfarre	218339
Kontrolle	209410
Ecke	134913
Zelle	130964
Kirche	117864
Adresse	77614
Kunde	59204
Elbe	58054
Stimme	56267
Rebe	54156
Wolle	53644
Fähre	53356
Wochenende	52672
Buße	51911
Krone	49224
Hüfte	44347
Lymphe	43753
Quelle	43476
Ehre	39487
Kirsche	32529
Mühle	31885
Baumwolle	31221
Fuhre	30010
Filiale	27819
Mitte	26614
Achse	26121
Pappe	24180
Palme	23017
Fachhochschule	21902
Schande	19908
Münze	18344
Klette	17477
Spirale	16827
Stammzelle	16479
Hitze	14355
Perspektive	11510
Auge	11431
Violine	11127
Bagatelle	9913
Lokomotive	9793
Kutsche	9199
Kapelle	8742
Himbeere	8181
Kehle	7226
Flamme	7095
Brombeere	4906
Birne	4844
Traufe	4140
Rache	3985
Stute	3399
Volkshochschule	3383
Glatze	2993
Johannisbeere	2981
Krücke	2478
Leute	2273
Beere	2191
Heidelbeere	2039
Lakritze	1717
Kathedrale	1622
Gefälle	1401
Preiselbeere	1196
Blesse	1153
Gallerte	1096
Kette	908
Fregatte	698
Einöde	619
Sülze	496
Delikatesse	322
Muehle	249
Huefte	223
Spinnwebe	210
Muenze	166
Treppe	95
Tuere	82
Geleise	50
Asiate	31
Genosse	29
Kruecke	23
Parzelle	5
Einoede	5
Nymphe	2
Ballade	2
Zeitgenosse	1
Vogelkunde	1
Vene	1
Kommune	1
Experte	1
