Mangel	27559
Mutter	10899
Bruder	10422
Vater	8084
Tochter	2114
Apfel	1040
Nagel	861
Vogel	478
Abwasser	408
Soller	336
Faden	285
Graben	283
Kloster	226
Garten	165
Hafen	123
Großvater	122
Boden	117
Lager	105
Kasten	95
Kindergarten	90
Wasser	81
Bogen	78
Hammer	65
Großmutter	55
Singvogel	51
Acker	48
Granatapfel	46
Nistkasten	43
Laden	38
Schnabel	28
Ofen	28
Fußboden	27
Magen	25
Flughafen	25
Mantel	24
Schrebergarten	23
Vorvater	19
Briefkasten	18
Schaden	17
Sattel	17
Proller	17
Fragebogen	17
Rundbogen	15
Schützengraben	14
Spitzbogen	5
Sinkkasten	5
Bindfaden	5
Regenbogen	4
Nachtigaller	3
Unfaller	2
Kragen	2
Gebärmutter	2
Wahller	1
Vitalienbruder	1
Marstaller	1
Guckkasten	1
Draller	1
Baller	1
