Sprache	4997
Schule	4711
Farbe	4541
Ende	3047
Erde	2955
Grenze	2447
Kontrolle	2331
Zelle	1779
Hochschule	1734
Wochenende	1593
Sache	1429
Wolle	1370
Ecke	1299
Stimme	1085
Baumwolle	1015
Adresse	953
Strafe	924
Elbe	870
Pfarre	869
Kirche	794
Spirale	778
Münze	760
Achse	733
Hüfte	700
Filiale	685
Kirsche	677
Fähre	669
Pappe	659
Quelle	583
Buße	556
Palme	552
Krone	507
Rebe	505
Himbeere	461
Perspektive	443
Schande	435
Mühle	432
Ehre	371
Lokomotive	370
Stammzelle	346
Mitte	345
Brombeere	341
Klette	317
Kehle	292
Fachhochschule	292
Bagatelle	290
Lymphe	279
Lakritze	269
Heidelbeere	264
Violine	255
Volkshochschule	197
Kutsche	183
Auge	183
Traufe	172
Johannisbeere	168
Hitze	160
Flamme	159
Leute	156
Fuhre	156
Beere	140
Preiselbeere	137
Kathedrale	137
Rache	133
Birne	110
Gallerte	101
Kapelle	100
Delikatesse	82
Kunde	80
Huefte	70
Kette	68
Sülze	66
Muenze	63
Spinnwebe	56
Gefälle	50
Einöde	47
Muehle	39
Glatze	34
Treppe	31
Geleise	29
Tuere	23
Blesse	20
Krücke	18
Fregatte	8
Stute	5
Asiate	5
Parzelle	3
Einoede	3
Nymphe	2
Kruecke	2
Zeitgenosse	1
Vogelkunde	1
Vene	1
Kommune	1
Genosse	1
Experte	1
Ballade	1
