Kind	5642
Bild	2337
Geist	2172
Ei	1676
Mitglied	1257
Geschlecht	1088
Kleid	1085
Rind	1027
Lied	843
Weib	809
Licht	756
Gespenst	687
Amt	596
Kleinkind	507
Brett	490
Schild	372
Feld	369
Maenn	237
Glied	178
Buech	168
Schwert	154
Gesicht	153
Laend	150
Huehn	143
Kraeut	112
Goett	94
Weichei	83
Geld	71
Voelk	63
Guet	61
Viech	60
Haeus	52
Nest	47
Kleinstkind	42
Lid	36
Ämt	30
Vorbild	29
Leib	29
Koern	24
Baed	22
Ding	20
Woert	16
Biest	15
Rücklicht	14
Regiment	14
Landei	14
Weltbild	11
Graeb	11
Baend	11
Laemm	8
Kaelb	8
Hoern	8
Glaes	7
Gemüt	7
Raed	6
Umfeld	5
Findelkind	4
Schloess	3
Loech	3
Graes	3
Poltergeist	2
Pfaend	2
Abbild	2
Wuerm	1
Wechselgeld	1
Waeld	1
Vorfeld	1
Ungeist	1
Tael	1
Stueckguet	1
Standesaemt	1
Schwarzgeld	1
Schlagwoert	1
Schlagloech	1
Raend	1
Postfaech	1
Passwoert	1
Kindergeld	1
Kennwoert	1
Hoelz	1
Hochhaeus	1
Handbuech	1
Gehaelt	1
Fischerei	1
Faess	1
Doerf	1
Denkmael	1
Blaett	1
